# Source: PTFS1720i
# Coordinates: 306.82243 43.68944
# Epoch Units: PTFHJD
#
# Column definitions
# ------------------
# lcType: s = detected on reference image, t = transient
# filterID: 1 = g', 2 = R
# fieldID: PTF Field ID
# chipID: PTF Chip ID
# sourceID: Source ID
# epoch: Time of observation
# mag: calibrated magnitude
# magErr: calibrated magnitude error
# sextractorFlags: sextractor flags from detection
# ipacFlags: see documentation
# relPhotFlags: relative photometry flags
# limitMag: Magnitude at which 95% of source in reference image are detected
#           in this exposure
#
# lcType filterID fieldID chipID sourceID epoch mag magerr sextractorFlags ipacFlags relPhotFlags limitMag
t 02 004586 10 00143 2103.24100751 13.936 0.006 4 258 8 24.02
t 02 004586 10 00143 2375.36354804 17.148 0.018 0 2 0 24.02
t 02 004586 10 00143 2375.40101940 0.000 inf 0 0 0 24.02
t 02 004586 10 00143 2388.38905142 15.657 0.006 2 2 0 24.02
t 02 004586 10 00143 2388.44741308 15.722 0.007 2 2 0 24.02
t 02 004586 10 00143 2399.23108690 17.396 0.016 0 2 0 24.02
t 02 004586 10 00143 2399.27530781 17.505 0.017 0 2 0 24.02
t 02 004586 10 00143 2405.34470793 17.457 0.020 0 2 0 24.02
t 02 004586 10 00143 2405.38435855 17.209 0.016 0 2 0 24.02
t 02 004586 10 00143 2408.32215141 17.063 0.011 0 2 0 24.02
t 02 004586 10 00143 2408.37737215 17.251 0.013 0 2 0 24.02
t 02 004586 10 00143 2411.32814810 14.756 0.007 0 2 0 24.02
t 02 004586 10 00143 2413.28475803 17.037 0.012 2 2 0 24.02
t 02 004586 10 00143 2413.32166838 17.006 0.011 2 2 0 24.02
t 02 004586 10 00143 2416.23441214 17.543 0.015 0 2 0 24.02
t 02 004586 10 00143 2416.26440235 17.604 0.015 0 2 0 24.02
t 02 004586 10 00143 2419.25971937 16.651 0.009 0 2 0 24.02
t 02 004586 10 00143 2419.29639954 16.576 0.008 2 2 0 24.02
t 02 004586 10 00143 2749.17634786 17.184 0.027 0 2 0 19.12
t 02 004586 10 00143 2749.17750790 17.230 0.031 0 2 4 18.80
t 02 004586 10 00143 2749.17865793 17.332 0.040 0 2 4 18.08
t 02 004586 10 00143 2749.17982797 17.326 0.032 0 2 4 18.58
t 02 004586 10 00143 2749.18097801 17.284 0.028 0 2 0 19.03
t 02 004586 10 00143 2749.18213804 17.366 0.038 0 2 4 18.36
t 02 004586 10 00143 2749.18329808 17.185 0.030 0 2 4 18.79
t 02 004586 10 00143 2749.18445811 17.203 0.025 0 2 4 19.18
t 02 004586 10 00143 2749.18559815 17.201 0.025 0 2 0 19.12
t 02 004586 10 00143 2749.18675819 17.357 0.021 0 2 0 19.33
t 02 004586 10 00143 2749.18791822 17.335 0.020 2 2 0 19.40
t 02 004586 10 00143 2749.18908826 17.334 0.020 0 2 0 19.46
t 02 004586 10 00143 2749.19023830 17.359 0.020 0 2 0 19.46
t 02 004586 10 00143 2749.19139833 17.268 0.024 0 2 0 19.29
t 02 004586 10 00143 2749.19255837 17.341 0.026 0 2 4 19.18
t 02 004586 10 00143 2749.19371840 17.350 0.027 0 2 4 19.22
t 02 004586 10 00143 2749.19486844 17.367 0.020 2 2 0 19.46
t 02 004586 10 00143 2749.19602848 17.342 0.020 2 2 0 19.57
t 02 004586 10 00143 2749.19719851 17.355 0.018 0 2 0 19.62
t 02 004586 10 00143 2749.19835855 17.325 0.018 0 2 0 19.59
t 02 004586 10 00143 2749.19950859 17.362 0.020 0 2 0 19.54
t 02 004586 10 00143 2749.20066862 17.341 0.020 2 2 0 19.43
t 02 004586 10 00143 2749.20301870 17.327 0.019 0 2 0 19.53
